hostel_name,City,latitude,longitude,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security,hostel_reviews
Shree Ram Nilay For Girls,Indore,22.7577182,75.9061604,5,Vijay Nagar; Indore,1Vote,8770031480,8770031480,23 Near Bombay Hospital; Veena Nagar; Indore; Madhya Pradesh 452010; India,NA,4000,3500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great stay elevators; agree previous posts hostel elevators; stayed 4 nights 8/5 8/9; checked room early given corner club room 34th floor fabulous views elliott bay space needle lake union; bed great; think slept better weeks; morning club level continental breakfast afternoon snacks good; ordered room service twice just pizza sandwich arrived promptly; pizza actually pretty good; impressed desk personnel called time saw; mishap locking room; gown putting room service tray housekeeping pick; duh; went hall heard people rooms knocked; let use phone desk; security guard showed 3 4 minutes; used service elevator apparently freed public; elevators complaint stay; business seattle definitely stay crowne plaza; like poster just plan leave early catch elevator;  
Shree Sahaj For Girls,Indore,22.7129405,75.875325,3,Madhumilan Square; Indore,8Votes,9755594943,9755594943,199; Rabindranath Tagore Marg; Opp. Dawa Bazar; Murai Mohalla; Kibe Compound; Indore; Madhya Pradesh 452001; India,7000,5500,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,boutique charmer great location wife recently spent 5 nights inn market attended convention; nice time small comfortably furnished hostel great location just hill pike place market; walk convention center 8 blocks east pretty easy steep 1/2 block adjacent hostel; number trendy restaurants walk north ave. pioneer square old stone buildings charming pergola south road; course market 1/2 block west food stands boutiques fish flower stalls handicrafts jewelry tables entertainers ethnic dining options spill narrow alleys covered arcades; pleasure wake morning grab eat nearby watching small trucks vans unload wares vendors set tables.our room corner overlooking city spacious lots storage space wardrobe large bathroom; sink pedestal-type spreading toiletries limited glass shelf nearby small table/shelf unit; hear traffic noise street annoying did request lowest-priced room city n't expecting total silence closed doors; rooms window seats pillows nice feature makes rooms appear bigger provides additional seating good spot reading people-watching; decor contemporary beiges browns blacks predominating; good weather upstairs terrace nice place sit enjoy views bay market.the modern brick building surrounds pleasant courtyard splashing fountain/sculpture adjacent outdoor seating hostel restaurant; lobby opens courtyard fireplace stuffed chairs registration desk helpful staff operates.we enjoyed time; hostel nice option n't want large convention hostel central seattle location; aware seattle does share street people couple strip clubs near pike place market;  
Shree Shree Kripa For Girls,Indore,22.7552708,75.8967026,2.3,Satya Sai Square; Indore,7Votes,9039393789,9584327237,BRTS Indore; Scheme No 74; Scheme 54 PU4; Indore; Madhya Pradesh 452010; India,"8,500","5,800","5,400",For Girls,NonAC,Wifi,Mess,Cleaning,Security,dirty place; watch; limited english used; reading reviews sounds like complete different hostel stayed; stayed 9/12-9/15 room club level floor 26. say rooms needed updating understatement; not usually care decade style problem decades dirt cause room itch produce rash; case; everytime left room breath did not itch; return room began; carpet multi dark color did lot hide years goodness knows; did not dare walk barefoot; carpet tore doorway tiles loose bathroom; usually hostel remodels starts expensive room remodels long way off.beds beds nothing special; bathroom size closet forget closing door not possible.for need know friends requested handicap room wheelchair; no handicap room; regular room couple shower bars minumum legal requirement; not service personal check bar course spoke complete coherent english; need know want communicate housekeeping staff gift store; incredibly frustrating tell housekeeping leave extra towels draw pictures.the called parking garage unmanned entry completely unsafe; need know; dark shadowed underground exceptionally tight spaces; elevators not clear; actually enter doorways stairs flight reach elevator places; stairways believe town; careful check breeze check; english speaking folks hidden; bar course want money aggrevating you.however note credit card charged twice entire stay having worst time resolving issue; reason feel compelled connecting desk hostel; folks not billing; trying 2 days;  
Shree Sudha For Girls,Indore,22.6568749,75.8859585,2.8,Chhawani; Indore,5Votes,9039393789,8982000663,6; 8; Ushaganj; Chhawni; Indore; Madhya Pradesh 452001; India,NA,"5,400","5,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security,lemon 1 going check recheck 2 days later asked avenune inn heavey luggage 2 days come check desk refuesed; unbeliable; othere average hostelalways luggage recheck 2 days; avenue innis not kindness; not victoria easy hand free trip victoria carrying heavy luggage.2 agency tried fax asked fax nunber avenue inn told disconnet number agency called unable fax desk gave 2nd fax busy line number agency unable fax avenue inn doew not let use customer fax line avenune inn exclude use internet customer unable receive important fax.3since unable fax agent tried room desk said telephone room not working today imagine let customer use intenet overall hostel does not provide fax service nor telephonecommunication service room terrible service not thinking customers; emergency happen family howguest know news.; willl not recommend ohters use hostel;  
Shree Vallabh Girls Hostel / PG For Girls & Working Professionals,Indore,22.6834928,75.8599382,3.95,Bhawarkuan; Indore,5Votes,0731 - 4080029,0731 - 4080029,B1-2; Sarvanand Nagar; Near Meera Garden Near Bhanwarkua Square; Near Mata Gujri College; Sarvanand Nagar; Pipliya Rao; Indore; Madhya Pradesh 452007; India,9000,6000,5500,For Girls,AC,Wifi,Mess,NA,NA,fabulous hostel seattle fantastic hostel pricey; hostel water downtown seattle worth price; restaurant view spectacular- cant beat; rooms nice nothing spectacular; staff accomodating friendly.great location; close infamous pike place market;  
Shree villa girls hostel,Indore,22.7679065,75.895539,3.7,Vijay Nagar; Indore,7Votes,7771000234,7771000231,1140; New road; Part I; Vijay Nagar; Indore; Madhya Pradesh 452010; India,9000,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,favorite hostel work responsibilities taken seattle 4-6 times year years stayed hostel andra dozen times 2-5 nights stay; time period travel extensively domestically internationally favorite hostel; apart superb location seam downtown seattle bell town wonderful restaurants location not beat view non-convention style hostel contemporary furnishings comfortable beds efficient workspaces easy internet access excellent restaurants accessible lobby; breakfasts lola just outstanding assaggio terrific italian place dinner street excellent lunch dinner dahlia lounge; staff particularly friendly responsive happy accommodate reasonable requests favors; not news junkie really value fact ask presto free copy new york times including sunday; door morning;  
Shree Vinayak For Boys,Indore,22.7302108,75.8976667,2.3,Anand Bazar; Indore,6Votes,9300832533,9302113353,50; Shree Nagar Ext; Shree Nagar; Indore; Madhya Pradesh 452010; India,6500,5000,4700,For Boys,NonAC,Wifi,Mess,Cleaning,Security,boyfriend stayed easter weekend chose hostel location parking; paid 70 usd room; central walkable market neighbourhoods good restaurants space needle; aside location parking not pleasant stay; hallways smelled smoke room clean need renovation; reception sign stating n't rent rooms purpose underage drinking somethign effect; blackout curtains completely ripped mentioned asked replaced pillows covered plastic; woken repeatedly late night partiers barking dog; went continental breakfast muffins fruit coffee joined pretty dodgy people did not look like staying; way beer bottle elevator; travel budget happy pay quieter safer feeling hostel; best western street looked like better; looking relaxing low key place stay city n't;  
Shri Ganesh Vatika For Girls,Indore,22.686373,75.8682617,3.3,Bhawarkuan; Indore,6Votes,0731 - 4257838,0731 - 4257838,163; Bhawarkua Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,5500,3500,2900,For Girls,NonAC,Wifi,Mess,Cleaning,Security,beautiful view-disappointing service stayed edgewater 15th anniversary; paid small fortune beautiful waterfront room; unfortunately water bay no water room; apparently replacing plumbing no told; nothing said reserved checked; went upstairs shower change dinner no water n't flush toilet; inquired desk manager just said just wait awhile; sure got water hour; got excited got ready shower; turned water got brown goop; ran awhile cleared no hot water; inquired told soon; couple hours tried; lukewarm; called desk assured hot; finally hostel engineer come room; turned water blast stood 10 minutes pj agree n't hot; no explanation promise fix; thought leaving hostel time late; manager nothing offer free breakfast coupons; day encountered new manager refunded night nothing really makes miserable stay; supposed relaxing romantic night away kids stressful miserable stay;  
Shri Ram Manglik Bhawan (Boys),Indore,22.723148,75.863427,2.6,M G Road; Indore,9Votes,0731 - 2532393,0731 - 2532393,25/1; Kachi Mohalla; Jail Road; Indore; Madhya Pradesh 452001; India,10000,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,nice stay mayflower park hostel great choice want equidistant space needle basball/football arenas did; needle definitely walkable.the stadiums longer.definitely leave 30-40 minutes walk.another thing close pike place market; blocks away.also right major shopping tins restaurants starbucks course plenty fast-food joints.the staff extremely friendly easily stay; rooms pleasant; classic room touch small fine fine people;  
Shri Sai Girls Hostal,Indore,22.7332422,75.8915273,3.3,LIG Square; Indore,7Votes,9626804900,9584718103,86; LIG Link Rd; Anoop Nagar; Indore; Madhya Pradesh 452011; India,NA,NA,3700,For Girls,NonAC,Wifi,Mess,Cleaning,Security,expensive; not biz travellers; simple fact hostel location simply unbeatable.. mere stone throw away pike market; plenty great restaurants generally fun area; tourist; quality hostel so-so; not place business travellers; bit hard especially just returned trip hk stayed conrad hk wynn macau; compared inn feels like motel 6. issues:1. no desks rooms place laptops; wireless internet no place work bed; 2. furniture coverings worned just outdated; 3. room 409 city view room; room date; avoid cost window sits right bus stop; claim windows double paned hear buses roaring engines; sleep ear plugs desk; 4. ac standalone unit attached wall; not central; standalone unit quite bit noise; looks cheap tacky; 5. no business center; fax machine located basement hostel; price pay paying location; staff extremely friendly; folks check fried doughnuts dhalia lounge;  
Siddharth For Girls,Indore,22.6905323,75.86456,3,Bhawarkuan; Indore,7Votes,7697381789,9425075198,9; Vishnupuri; Bhanwarkua Square; AB Rd; Vishnupuri; Indore; Madhya Pradesh 452001; India,NA,NA,"4,200",For Girls,NonAC,Wifi,Mess,Cleaning,Security,gem hostel absolute gem; small great service; room not huge certainly adequate clean comfortable; ask room high floor great view downtown space needle.best attentive staff; concierges friendly helpful; shuttle drivers went way literally; victoria ferry pick; convenient.would recommend;  
Siddharth Girls Hostel,Indore,22.692634,75.8642689,4,Bhawarkuan; Indore,10Votes,9009076111,9926146876,115; Vishnu Puri Colony; Indore; Madhya Pradesh 452014; India,13000,8000,5000,For Girls,NonAC,Wifi,Mess,NA,NA,terrible experience awful night stay; planned staying 3 dirty old hot; no a.c. met 2 policemen suggested safer place town; price n't; spend little lots advantages;  
Siddhi Vinayak For Boys,Indore,22.7253496,75.9001545,3.8,Saket Nagar; Indore,8Votes,731 - 2575688,731 - 2575688,1321 2; 2; Gulmohar Colony; Manish Puri; Indore; Madhya Pradesh 452018; India,NA,5000,4500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great hostel great hostel; good sized clean rooms; helpful staff; unbeatable location; walk door pikes market original starbucks; hostel walked underground tour monorail space needle duck tours; stay;  
Sita Bhavan For Girls,Indore,22.7040925,75.873473,3,Navlakha; Indore,8Votes,0731 - 2400052,2401636,25; Chhawni Rd; Nagar Nigam Market; Agrasen Chouraha; Agrasen Square; Navlakha; Indore; Madhya Pradesh 452001; India,NA,5500,5300,For Girls,NonAC,Wifi,Mess,Cleaning,Security,friendly staff comfortable beds stayed hostel tour included 6 hostel coast california; enjoyed hostel; great location tourists; close market place attractions; desk staff accommodating thanks christopher rest hostel staff friendly; loved beds comfortable; breakfast included tour enjoyed; want included buffet fruit fresh; hi morgan wait staff; hostel bright clean looking fresh flowers lobby area; seattle try make short trip boeing aircraft factory; loved tour; people seattle portland willing help tourists directions suggestions;  
Sitashree Girls Hostel,Indore,22.6889292,75.8655849,4.1,Bhawarkuan; Indore,8Votes,9826226930,9826226930,7; next to Mr. Madhu Verma House; Ahilya Puri; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,12000,8000,6500,For Girls,NonAC,NonWifi,Mess,Cleaning,Security,truely wonderful place husband university inn right; definitely place stay seattle; room queen bed nice sitting area microwave mini-fridge; lobby stocks tazo teas breakfast buffet tasty; parking easy right hostel; staff friendly helpful.the location fantastic right heart university district walking distance uw campus surrounding bars restaurants; close i-5 just minutes drive heart downtown; highly recommend staying; reviewer said really does feel like little home away home.please feel free contact question hostel;  
Soham Girls Hostel,Indore,22.6945011,75.8672102,3.8,Bhawarkuan; Indore,7Votes,9752111118,9630784804,29; 30; Bhawarkua Main Rd; near Devi Ahilya Girls Hostel; Professor Colony; Indore; Madhya Pradesh 452010; India,12000,8000,7800,For Boys,AC,Wifi,Mess,Cleaning,Security,seattle stay quality inn suites seattle located blocks seattle center home space needle; area originally built 1962 world fair; area appears offices t.v; stations; did walk blocks restaurants food court center house near space needle; monorail seattle center runs westlake center mall plenty shopping restaurants.the hostel built fair added years ago recently rooms updated; room small adults sightseeing time fine; room 2 double beds included microwave refrigerator; bathroom updated marble floor new fixtures; staff friendly helpful hostel clean; hostel stay room quiet; hostel busy highway; window closed noise not problem; parking free hostel great downtown hostel stalls limited; serve nice breakfast near pool area; breakfast room fills quickly earlier better; area hostel not tourist friendly thought hostel bargain; 115/night 4 adults free breakfast free parking downtown seattle;  
Sri Ji For Boys,Indore,22.7114578,75.872095,3.3,Chhawani; Indore,6Votes,9669247111,9302080479,Shyam Sangam Rd; Murai Mohalla; Chhawni; Indore; Madhya Pradesh 452001; India,NA,1500,1500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,love; planned trip seattle university inn recommended friends read good reviews booked; email correspondence handled quickly friendly manner good feeling arrived.our flights late probably not best mood arrived near 11 p.m. desk staff nice; unfortunately did not hold king-size room told previously try n't guarantee arrived room opened window looking right space needle consolation morning mt; rainier pretty great seattle view room large clean window opens; day moved equally attractive room just 2 floors king bed; internet access easy room service great used car service first-rate.note newer section wonderful; niece seattle came looking day instead coming second floor newer/updated section turned wrong way went older section said mess; got right area said wow difference guess ca n't guaranteed room newer/nicer area maybe n't book renovations fall loved hostel highly recommend;  
Sukhmani Boys Hostel,Indore,22.6930286,75.8650958,4,Bhawarkuan; Indore,6Votes,0731 - 4967412,9827222348,31-32; Bhawarkua Main Rd; Sch. 44-B; Sidharth Nagar; Aditya Nagar; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,3500,3000,3000,For Boys,NonAC,NonWifi,NA,Cleaning,Security,good place stay stayed nights end august 2008. impressions n't great building looks little long tooth main highway lobby dated room large clean bathroom; hostel location n't bad easy walking distance downtown attractions steep hill doorstep tough negotiate evening meal; speaking food breakfast especially pancakes good; staff friendly helpful offered store bag weeks alaska;  
Sunita PG Girls,Indore,22.7095017,75.8766738,3,Chhawani; Indore,7Votes,0731 - 2703981,4289914,10; 7; Ushaganj; Chhawni; Indore; Madhya Pradesh 452001; India,NA,"3,600","3,300",For Girls,NonAC,Wifi,Mess,Cleaning,Security,good choice marqueen place stay going key arena seattle center venues short walk away; building refurbished apartment house rooms bigger usual hostel room size kitchen separate sitting area; room elegantly furnished bed comfortable; staff cordial gave suggestions helped trip; wine-tasting event night stayed there.a couple things mind:1. no elevator bellman assisted luggage; unfortunately did not offer pick carry flights remind exercise good; no big deal you.2; coffee bar not coffee shop trendy bar hostel nothing hostel big chains; no big deal; neighborhood kinda funky pleasant did not walk far good places eat breakfast dinner; 3. hostel not downtown not walking distance pike place market pioneer square business district right seattle center entertainment venues museums space needle monorail takes right downtown 5 minutes; forms public transportation plentiful convenient.enjoy seattle;  
Sunrise For Boys,Indore,22.7210099,75.8721525,3.7,Reagal Square; Indore,5Votes,9893064000,9893064000,9; Near Regal; Dhenu Market Rd; Nehru Park 2; Dhenu Market; Indore; Madhya Pradesh 452003; India,NA,5000,,For Boys,NonAC,Wifi,Mess,Cleaning,Security,basic hostel basic needs hostel perfect young travellers just need place sleep no needs far that.the rooms basic clean beds comfortable bathrooms clean hot water small showers desk staff friendly helpful not; essentially star hostel fair square.bring earplugs walls paper constant noise street rooms; just people room moving awake night creates loud creaking thumping sound step take.the area so-so; walking distance main areas attractions cab rides short cheap central location n't want walking immediate area surrounding hostel.the best feature hostel restaurant; staff amazingly friendly attentive fast; service notch; food great; n't expect gourmet cusine hostel callibre; homestyle american food good oversized portions perfect sharing; stay hostel bring earplugs;  
Suyug Girls Hostel,Indore,22.756664,75.8866633,3.6,Vijay Nagar; Indore,9Votes,9893166165,9753155637,F-9; Scheme No 54; Ganesh Nagar; Vijay Nagar; Indore; Madhya Pradesh 452010; India,9500,7500,5500,For Girls,NonAC,NonWifi,Mess,Cleaning,Security,okay amazing lost bags; stayed friend wedding; high expectations going hostel not impressed checked; rooms small cramped; bathrooms small; stayed sheraton seattle previous nights paid price far impressed accommodations sheraton better accommodations bigger rooms bigger bathrooms cleaner upscale.during checkout checked bags hostel lunch; came bags nobody able; ended having ask bellboy basement bags not ended finding locked random room basement; staff pretty worthless bags lost;  
Swastik For Girls,Indore,22.6961754,75.8801574,2.7,Navlakha; Indore,6Votes,9826018845,8085209125,14 Nemawar Road; Navlakha Rd; Prakash Nagar; Indore; Madhya Pradesh 452001; India,NA,4700,4300,For Girls,NonAC,Wifi,Mess,Cleaning,Security,holiday inn; 1st time seattle delayed anniversary trip wanted stay nicer hostels room reminded holiday inn level hostel; plain room extra pillows; bathroom ordinary corian sink ordinary bathroom; room higher floor looking freeway loud; reason earplugs sleep cd; asked switch rooms told probably stay way stay 2 nights staying hostel different area town; luggage room decided eat; stopped concierge asked good place walk rudely told just walk area; not sure concierge doorman just sitting desk expected help; decided night hostel come day earlier happily said; used club points crowne rooms maybe lousy experience opted leave pay room luxury hostel hostel 1000;  
The Sky For Boys,Indore,22.7645437,75.8750364,3.2,Bapat Square; Indore,5Votes,9926784088,9926784088,Unnamed Road; Row House; Royal Bungalow; Sukhlia; Indore; Madhya Pradesh 452010; India,NA,NA,4000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,nice hostel not really complaints; staff nice; rooms clean basic; paid 100 night priceline worth right near seattle center monorail downtown; showers great water pressure; complaint pillows; 2 flat pillows not acceptable; 2 good ones 4 pillows; asked 2 pillows brought; minor thing definitely stay; did not eat breakfast not comment;  
Turning Point For Girls,Indore,22.7560057,75.906392,3.4,Bombay Hospital; Indore,7Votes,0731 - 2573366,9425060793,156; Chikitsak Nagar; Indore; Madhya Pradesh 452010; India,NA,5000,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,poor service good reviews andra gets makes wonder stayed place.my wife spent nights honeymoon seattle andra; wish days trip did n't anti-climax.having read previous bad review hostel contacted andra advance reserve room high floor away elevators soundproofing non-existent.what room did; lower floor opposite elevator; willing away elevator floor.our package included champagne truffles arrival; truffles did n't arrive final night complaints desk.i handed item clothing laundered; came ruined.overall andra great looking hostel marks poor service.the saving grace adjacent lola restaurant serves great food;  
Uday For Boys,Indore,22.7204271,75.8908611,3.2,Geeta Bhawan; Indore,6Votes,8349908802,7509068665,55; Shanti Nagar; Manoramaganj; Geeta Bhawan Mandir; near Palasiya; Shanti Nagar; Indore; Madhya Pradesh 452001; India,NA,4000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great service location great hostel; location amazing; able walk safeco field bit walk public market shopping; chose walk sapce needle easily monorail couple blocks away.the rooms nice clean comfortable.the problem parking; self parking consisted public lots property 38 valet parking; no park just check valets ask valet car immediately ask leave.if looking drinks friends stay away hostel lounge; way overpriced drinks really watered; despite parking hostel lounge great place stay;  
Umashree For Girls,Indore,22.7114578,75.872095,3.3,Chhawani; Indore,5Votes,0731 - 4237005,0731 - 4237005,Shyam Sangam Rd; Murai Mohalla; Chhawni; Indore; Madhya Pradesh 452001; India,NA,4000,3800,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great location laughable rooms booked flights seattle package got great deal; 660 people nights airfare did n't choice stay; hostel old kind stinky; refused elevator bit decrepit smelled vomit stairways smelled like pee room quite clean bare; walked city times location hostel superb; belltown tons cute places eat drink right downtown plethora chain clothing stores; n't know stay certainly sufficient low budget minute long weekend trip;  
Vaidehi Girls Hostel,Indore,22.6911089,75.8614084,3.75,Bhawarkuan; Indore,8Votes,9826601579,8109110340,88nx; near shivmandir; Bhawarkua; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,7000,7000,7000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,fantastic hostel fabulous stay sheraton downtown seattle; stayed remodeled union tower king corner room.the room decorated shades chocolate brown caramel cream tasteful roomy clean.the staff helpful courteous; hostel walking distance things downtown seattle; fabulous weekend highly recommend hostel looking stay downtown area;  
Vaishali For Girls,Indore,22.6838763,75.8294243,2.8,Sudama Nagar; Indore,8Votes,9111110516,9111110516,291; Gopur Square; Pre Conco Nagar; Precanco Colony; Indore; Madhya Pradesh 452012; India,NA,5000,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security,not bad location hostel short walk away space needle minute drive downtown seattle; location prompted stay hostel plus daily fee stay n't bad; hostel older clean breakfast pretty good not alot choose employees relatively nice; n't nice group late-teens 3am partying hallway hours shady characters hung rooms; pay definately ca n't beat location;  
Vaishnu Dham For Boys,Indore,22.7001285,75.8634777,2.8,Bhawarkuan; Indore,8Votes,9009233916,9009233916,Bhawarkua Main Rd; Indore; Madhya Pradesh; India,3500,2700,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great location reasonable price stayed moore 2 nights prior alaska cruise trip; moore locates good location; walk pier pike place market downtown area easily; went jogging waterfront nice park enjoyed; walk ncl pearl pier 66 board ship nice walk downhill; location excellent price.the hostel not fancy clean; spend little bathroom instead sharing worth money; small tv no refrigerator drink; not problem walk buy stuff want nearby.this hostel good budget traveller wants stay near downtown area; way great time alaska ncl pearl fanstastic;  
Vardhman For Boys,Indore,22.7128296,75.8753681,4.5,Chhawani; Indore,2Votes,9111110999,9300084888,Rabindranath Tagore Marg; Opp. Dawa Bazar; Indore; Madhya Pradesh 452001; India,NA,7500,6500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,good choice hostel recommended sister; great location room nice; comfortable bed- quiet- staff helpful recommendations restaurants; pike market 4 block walk; stay;  
Vatshaya Girls Hostel,Indore,22.6956541,75.8655628,4,Bhawarkuan; Indore,7Votes,9926000387,9926000387,MVW8+768; Transport Nagar; Indore; Madhya Pradesh 452014; India,5000,4500,4000,For Boys,NonAC,NonWifi,Mess,Cleaning,Security,ok just need clean space sleep just finished 5-night stay comfort suites downtown seattle moved hostel road night heading home; boy surprised difference hostel facility; stayed quality inn/suites past far favorite; quality inns/suites not comfort inns/suites operated hostel family chain expect equivalent similar quality standard especially hostels 300 feet away; despite quality inn/suites downtown seattle offers clean basic rooms maybe 5-10 pricing somewhat run-down facility bear-cave feel small dark old; guess just want simple basic place stay day budget conscious q hostel seattle okay choice; mediocre overall upgrades definitely needed hostel;  
Vidhya Bain Dipchand Mahila Awas Grah,Indore,22.715885,75.844382,3,Jawahar Marg; Indore,7Votes,9826059431,9826059431,1; 7/1; S Rajmohalla; near Hotel World; Old Rajmohalla; North Rajmohalla; Ward 23; Indore; Madhya Pradesh 452002; India,NA,3000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,quaint not rundown son decided celebrate graduation high school trip seattle; chose inn queen anne proximity experience music project space needle funky shops eateries nearby; hostel described quaint pictures hostel website nice gave shot.upon entering hostel greeted carpet lobby filthy torn; uh-oh thought not good sign; desk overbooked paid confirmed reservations late arrival 2 weeks prior room left 2 beds; took hurriedly left things room grab quick bite; returning getting bed noticed room no a/c windows not open son double bed clean twin hairy sheets closet; not talking old fashioned wall pull-out bed-this actually tiny twin bed stuffed closet; went kitchenette leftovers fridge fridge mold did not work; went desk complain told nothing sucked tried sleep; took sheets bed used sons blanket eventually closet got stuffy jumped sons bed fan; morning experienced plumbing issues toilet shower bugs bathroom; packing looked bed make sure got discovered possessions stayed did; housekeepers did not clean beds change sheets; canceled rest stay decided leave seattle drove anacortes stayed cap sante inn- palace compared night before.i wrote manager queen anne requesting refund; received letter saying refund not given gave coupon stay; use; word quaint queen anne uses advertising not rundown.my advice anybody staying check room white glove inspection make sure working order agree stay it.by way queen anne policy reserve room charge card immediately not refund 72 hours advance cancellation; ridiculous;  
VIP Girls Hostel,Indore,22.6957107,75.8662001,4.1,Bhawarkuan; Indore,7Votes,0731 - 4005438,8103921021,9; Bhawarkua Main Rd; Tower Chouraha; Ashok Nagar; Indore; Madhya Pradesh 452001; India,12000,7000,6000,For Girls,AC,Wifi,Mess,Cleaning,Security,loved; stayed warwick overnight getway enjoy christmas shopping; warwick exceeded expectations; staff wonderful extrememly friendly room clean service lounge wonderful; came contact hostel friendly; women bathroom lever lounge well.. think haunted totally creepy vibe lights anywho; really enjoyed stay going couple days;  
Viraj girls hostel,Indore,22.6953888,75.8707734,4.5,Bhawarkuan; Indore,15Votes,9893883789,9893362886,AB Rd; near Bhawarkua; Square; Indore; Madhya Pradesh 452001; India,7000,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,good value hostel stayed warwick times past years spent night march 25 2005. room fine king bed tv pay view movies mini-fridge; thing missing coffee maker; nice marble bathroom hand held shower; view east hostel space needle time viewed 2 westin hostel towers; price right got 10 miles aadvantage card; fly ointment 21 overnight parking charge; definately come location great;  
Vishalakshi Girls Hostels,Indore,22.6858234,75.8724246,4.5,Bhawarkuan; Indore,7Votes,8889844406,9589500544,Crystal IT PARK STP-1; Ground Floor; IT/ITES- SEZ; Khandwa Rd; Indra Puri Colony; near Bhawar Kuwan Square; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,10000,7000,6500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,no customer care booked travelocity; flight cancelled snow ice delayed day westin refused refund 1 2 nights; 200+ night hostel bit greedy; not mention view n't great air did n't work barely slept night; expect minimum air work room.still waiting hear travelocity not refund told left town refused got; happily ate cost rental car extra day.we wo n't dealing time soon;  
Vishalakshi Girls Hostels,Indore,22.6927876,75.8670118,4.3,Bhawarkuan; Indore,15Votes,9893362886,9893362886,Bhavarkuan Square; Indore; Madhya Pradesh; India,11000,7500,6500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,pleases sheraton hostel towers; wife stayed sheraton nights prior alaska cruise; booked hotwire; stay expected; great room; upgrade 29th floor close pikes market.it 10 cab ride pier; purchased roundtrip ticket airporter sheraton; took cab pier; saved 15 n't alot convenient bus drivers friendly cabbies.all-in-all wnat close downtown action great hostel pick; definently 4-star;  
VR Boys hostel,Indore,22.7552375,75.9094531,3.5,Bhawarkuan; Indore,5Votes,9893555665,9752173438,QW45+3QW Indore; Madhya Pradesh; India,9000,7500,6500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,excellent choice great choice stay close airport right street; room lovely price right booked hostels; room quiet offered; just aware parking 15.00 overnight;  
Yadav For Boys,Indore,22.7466615,75.8805366,2.5,LIG Main Road; Indore,8Votes,9827600000,9827600000,136; Majdur Chowk; Bajrang Nagar; Indore; Madhya Pradesh 452011; India,NA,5000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,basic room no special employee attitude good downtown seattle location snobbish attitude desk friendly luggage handlers outdated interior need modernization; rooms fairly basic bit awkward small nonetheless clean; noisy ambiance proximity mono-rail blurts super sounding horn hours night; nice mall near hostel restaurants pike street market places walking distance; avoid seedy areas night located near pike market; bit pricey independent hostel definately think staying improve customer relations skill;  
Yadav For Boys,Indore,22.77177,75.8933483,3,Satya Sai Square; Indore,5Votes,9827600000,9827600000,Part I; Scheme No 114; Indore; Madhya Pradesh 452010; India,NA,NA,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,perfect way; stayed ace seattle short time august; perfect hostel; things need none things n't; great design super comfy great location; staff friendly knew cool places helpful way; rooms super stylie great art ammenities really need; loved place planning make sepcial trip portland check ace portland apparently turntables rooms library vinyl check;  
Yadav For Boys,Indore,22.7630316,75.8940911,4,Scheme No. 78 - Part I; Indore,7Votes,9827600000,9827600000,QV7V+6J8; Slice 5; Aranya Nagar; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,3400,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,ok price people agree hostel ok price; reason given 4 instead 3 points think having returned 4 week united states trip hostel average prize charge. 99 high season people including average breakfast located not far downtown seattle sounds like pretty good deal me.the location really convenient just short walk space needle air train directly seattle.the staff helpful friendly complimentary wireless internet available coffee tea lobby.the rooms clean way small; basically crawl bed reach far room; hostel slowest elevator seen convenience location prize just beats small downsides;  
